YearMonthNum,MonthYear,CustomerKey,TotalAmount,TxnCount,FraudCount
202301,Jan-2023,1,387.65,7,0
202301,Jan-2023,2,90.0,2,1
202301,Jan-2023,3,504.18,5,1
202301,Jan-2023,4,127.77000000000001,3,0
202301,Jan-2023,5,710.13,5,0
202301,Jan-2023,6,102.16,2,0
202301,Jan-2023,7,6.84,1,0
202301,Jan-2023,8,239.95000000000002,2,0
202301,Jan-2023,9,516.0799999999999,7,0
202301,Jan-2023,10,16.78,1,0
202301,Jan-2023,11,72.22,2,0
202301,Jan-2023,12,125.09,2,0
202301,Jan-2023,13,192.3,1,0
202301,Jan-2023,14,362.28999999999996,2,0
202301,Jan-2023,15,145.52999999999997,2,0
202301,Jan-2023,16,550.5600000000001,4,0
202301,Jan-2023,17,337.46,6,0
202301,Jan-2023,19,557.78,5,0
202301,Jan-2023,20,617.4000000000001,6,0
202301,Jan-2023,21,356.54999999999995,2,0
202301,Jan-2023,22,137.26,1,0
202301,Jan-2023,24,340.34,4,0
202301,Jan-2023,25,304.0,2,0
202301,Jan-2023,26,390.87,3,0
202301,Jan-2023,27,211.91,3,0
202301,Jan-2023,28,254.60000000000002,4,0
202301,Jan-2023,29,293.27,4,0
202301,Jan-2023,30,17.21,2,0
202301,Jan-2023,31,190.34,6,0
202301,Jan-2023,32,396.05,4,0
202301,Jan-2023,33,458.3,4,0
202301,Jan-2023,34,64.36,1,0
202301,Jan-2023,35,192.46,2,0
202301,Jan-2023,36,156.60000000000002,3,0
202301,Jan-2023,37,43.45,2,0
202301,Jan-2023,38,524.89,4,0
202301,Jan-2023,39,111.68,4,0
202301,Jan-2023,40,112.58000000000001,2,0
202301,Jan-2023,41,100.44,3,0
202301,Jan-2023,42,349.11,5,0
202301,Jan-2023,43,240.13,4,0
202301,Jan-2023,44,7.66,1,0
202301,Jan-2023,45,306.14000000000004,2,0
202301,Jan-2023,46,405.46000000000004,3,1
202301,Jan-2023,48,7.26,1,0
202301,Jan-2023,49,304.32,2,0
202301,Jan-2023,50,115.21000000000001,2,0
202301,Jan-2023,51,116.19,2,0
202301,Jan-2023,52,322.62,5,0
202301,Jan-2023,53,209.95,3,0
202301,Jan-2023,54,160.99,6,0
202301,Jan-2023,55,210.74,3,0
202301,Jan-2023,56,317.13,9,0
202301,Jan-2023,57,260.96,3,0
202301,Jan-2023,58,236.01999999999998,2,0
202301,Jan-2023,59,1.96,1,0
202301,Jan-2023,60,230.88,2,0
202301,Jan-2023,61,126.57,3,0
202301,Jan-2023,62,23.44,1,0
202301,Jan-2023,63,9.34,1,0
202301,Jan-2023,64,125.52000000000001,3,0
202301,Jan-2023,65,118.17999999999999,2,0
202301,Jan-2023,66,254.84,3,0
202301,Jan-2023,68,89.72,3,0
202301,Jan-2023,69,76.22,2,0
202301,Jan-2023,71,176.24,5,1
202301,Jan-2023,72,32.019999999999996,2,0
202301,Jan-2023,73,40.07,1,0
202301,Jan-2023,74,458.29,3,0
202301,Jan-2023,75,60.86,1,0
202301,Jan-2023,76,195.7,3,0
202301,Jan-2023,77,94.06,2,0
202301,Jan-2023,78,157.13,3,0
202301,Jan-2023,80,144.18,3,0
202301,Jan-2023,81,190.27999999999997,4,0
202301,Jan-2023,82,531.75,7,0
202301,Jan-2023,83,390.69,5,0
202301,Jan-2023,84,234.28,3,0
202301,Jan-2023,85,280.74,4,0
202301,Jan-2023,87,250.82999999999998,3,0
202301,Jan-2023,88,96.71000000000001,3,0
202301,Jan-2023,89,750.36,6,0
202301,Jan-2023,90,12.0,1,0
202301,Jan-2023,91,614.2,4,0
202301,Jan-2023,92,114.66,3,0
202301,Jan-2023,93,200.39,3,0
202301,Jan-2023,94,271.93,4,0
202301,Jan-2023,96,123.77000000000001,5,0
202301,Jan-2023,98,344.71,4,0
202301,Jan-2023,99,14.65,1,0
202301,Jan-2023,100,316.28999999999996,3,0
202301,Jan-2023,101,733.78,3,0
202301,Jan-2023,103,45.03,2,0
202301,Jan-2023,104,413.7,5,0
202301,Jan-2023,105,441.45,7,0
202301,Jan-2023,106,45.040000000000006,2,0
202301,Jan-2023,107,549.8100000000001,4,0
202301,Jan-2023,108,262.99,3,0
202301,Jan-2023,109,370.32,4,0
202301,Jan-2023,110,357.77,5,0
202301,Jan-2023,111,302.55,1,0
202301,Jan-2023,112,173.47,4,0
202301,Jan-2023,113,127.82000000000001,2,0
202301,Jan-2023,114,710.73,7,0
202301,Jan-2023,115,237.2,4,0
202301,Jan-2023,117,76.06,3,0
202301,Jan-2023,118,288.1,4,0
202301,Jan-2023,119,376.36,5,0
202301,Jan-2023,120,160.98000000000002,3,0
202301,Jan-2023,122,458.78,4,0
202301,Jan-2023,123,95.47,2,0
202301,Jan-2023,124,489.66,5,0
202301,Jan-2023,125,173.82999999999998,2,0
202301,Jan-2023,126,181.72,3,0
202301,Jan-2023,127,282.2,5,0
202301,Jan-2023,128,24.18,2,0
202301,Jan-2023,130,45.97,1,0
202301,Jan-2023,131,341.76,5,0
202301,Jan-2023,132,312.68,2,0
202301,Jan-2023,133,152.77,4,0
202301,Jan-2023,134,23.71,1,0
202301,Jan-2023,136,37.19,1,0
202301,Jan-2023,137,375.44,4,0
202301,Jan-2023,138,569.95,4,0
202301,Jan-2023,139,212.94,1,0
202301,Jan-2023,140,152.99,4,0
202301,Jan-2023,141,237.57999999999998,3,0
202301,Jan-2023,142,115.73,3,0
202301,Jan-2023,143,175.64,3,0
202301,Jan-2023,144,142.56,2,0
202301,Jan-2023,145,484.81,4,0
202301,Jan-2023,146,89.16999999999999,3,0
202301,Jan-2023,147,212.35,4,0
202301,Jan-2023,148,129.77,2,0
202301,Jan-2023,149,20.57,1,0
202301,Jan-2023,150,140.56,2,0
202301,Jan-2023,152,190.39,3,0
202301,Jan-2023,154,85.17,3,0
202301,Jan-2023,155,349.36,5,0
202301,Jan-2023,157,245.78000000000003,3,0
202301,Jan-2023,158,55.16,3,0
202301,Jan-2023,159,66.97999999999999,2,0
202301,Jan-2023,160,371.13,4,0
202301,Jan-2023,162,673.05,8,0
